method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,outcome,seed,gamma_report,abstention_rate,gamma,criterion,direction
ERM-observed,0.6539477469257085,0.7005284614901088,0.6507786691835772,0.637964817126283,0.22415167563106192,0.6347569863274528,0.6953070211009919,0.6787603930461074,0.638995567980688,0.21571952341870068,0.6220919619124472,0.7223584656278857,0.10026650371543855,0.7116378359371989,0.06685292649211722,compas,recorded,0,1.885,,,,
IPW,0.6553205106099883,0.699169817081384,0.6498348277489382,0.6364193927856252,0.2248835627447096,0.6350899538783586,0.6941691991355415,0.6772486772486772,0.6370944272962774,0.21624810103799458,0.620876902638097,0.7213841978370101,0.1005072951989131,0.714434407455964,0.06965637860361276,compas,recorded,0,1.885,,,,
AIPW,0.7034119521320312,0.6949915140848233,0.6540821142048135,0.6398097179443432,0.22707923290241666,0.6842215274762578,0.6933700998516299,0.6780045351473923,0.6357824732480643,0.21721399416021078,0.6158211017658266,0.7170324668363606,0.10121136507053397,0.7874588243321771,0.14358212307248389,compas,recorded,0,1.885,,,,
Imputation,0.6490141006802455,0.7040683003924175,0.6526663520528552,0.6363884124603766,0.22039066613107636,0.6302746496487088,0.70000739465009,0.6795162509448224,0.633158565151638,0.211463963533665,0.6223571260950641,0.7219081419062863,0.09955101581122217,0.6888481669080087,0.04363032364530807,compas,recorded,0,1.885,,,,
Heckman(rho=-0.43),0.6158896914682034,0.7248219753773764,0.6672958942897593,0.6667069261231491,0.21259107231275934,0.6149792105594816,0.7126629804733531,0.6681783824640968,0.6563932713454923,0.21201795374359392,0.5990917519954972,0.7025085357487363,0.10341678375323904,0.7263511738816493,0.10093003519316165,compas,recorded,0,1.885,,,,
DCL(G=1),0.6264970090147849,0.7089708246154398,0.6507786691835772,0.6305820709224953,0.21814499593596096,0.6084410772015394,0.7012012728339638,0.6787603930461074,0.6244507683279981,0.20982753089794548,0.6267993485998106,0.7268217527032983,0.10002240410348773,0.6558723442707693,0.007325007304080185,compas,recorded,0,1.885,0.0,1.0,risk,two-sided
DCL-reg(G=1),0.6264970090147849,0.7089708246154398,0.6507786691835772,0.6305820709224953,0.21814499593596096,0.6084410772015394,0.7012012728339638,0.6787603930461074,0.6244507683279981,0.20982753089794548,0.6267993485998106,0.7268217527032983,0.10002240410348773,0.6558723442707693,0.007325007304080185,compas,recorded,0,1.885,0.0,1.0,regret,two-sided
DCL(G=1.5),0.6279800741245489,0.7096824741157137,0.6356772062293534,0.6095890841497472,0.2188439826004883,0.6118561343319032,0.7022448726450425,0.6613756613756614,0.5951536417459007,0.21139843338822253,0.6264370515567623,0.725870032126319,0.09943298056955663,0.650012299912667,0.015045044160505967,compas,recorded,0,1.885,0.13874469089193014,1.5,risk,two-sided
DCL-reg(G=1.5),0.6264499509815672,0.709086664092456,0.6507786691835772,0.6305820709224953,0.21812911878224453,0.6084902096068687,0.7013229267547981,0.6787603930461074,0.6244507683279981,0.20985154793202873,0.6268225574504471,0.7268036789700473,0.09998112151960015,0.6554567990239327,0.006909462057243793,compas,recorded,0,1.885,0.0,1.5,regret,two-sided
DCL(G=2),0.631451878976629,0.7082219089268236,0.6172722982538933,0.5864966191036359,0.22044082226329167,0.6164046130302433,0.7013443950937689,0.6492819349962207,0.5744498141795993,0.21346830669271138,0.6244272221967666,0.7232078659239972,0.09878064372723061,0.6492791853677667,0.02343075898574371,compas,recorded,0,1.885,0.23737612081170364,2.0,risk,two-sided
DCL-reg(G=2),0.6264058038824899,0.7093479764010739,0.6507786691835772,0.6305820709224953,0.21811633350158066,0.6086211659433665,0.7017737618731842,0.6787603930461074,0.6244507683279981,0.20991126904864343,0.6268652412066945,0.7267650336209528,0.09989979241425828,0.6547470309069481,0.0065302695775026,compas,recorded,0,1.885,0.0,2.0,regret,two-sided
